"source","target","weight"
24,1,1
25,1,1
121,1,1
343,1,1
379,3,1
119,4,1
170,4,1
212,4,1
349,4,1
235,5,1
263,5,1
265,5,1
280,6,1
95,7,1
165,7,1
211,7,1
247,8,1
115,9,1
264,9,1
280,9,1
103,10,1
390,10,1
29,12,1
47,12,1
210,12,1
397,12,1
748,12,1
129,13,1
247,13,1
44,17,1
143,17,1
199,17,1
321,17,1
349,17,1
405,17,1
412,17,1
26,18,1
129,18,1
137,18,1
158,18,1
326,18,1
429,18,1
445,19,1
49,20,1
80,22,1
190,22,1
227,23,1
302,23,1
355,23,1
101,24,1
343,24,1
428,24,1
146,25,1
190,25,1
254,25,1
343,25,1
68,26,1
137,26,1
303,26,1
435,26,1
441,26,1
71,27,1
130,27,1
215,27,1
269,27,1
430,27,1
12,29,1
110,29,1
127,29,1
196,29,1
248,29,1
269,29,1
272,29,1
302,29,1
396,29,1
440,29,1
703,29,1
748,29,1
18,30,1
149,30,1
190,30,1
207,31,1
428,32,1
13,33,1
354,37,1
387,37,1
87,38,1
326,38,1
356,38,1
441,38,1
278,39,1
366,39,1
402,39,1
180,40,1
347,40,1
378,42,1
17,44,1
69,44,1
125,44,1
143,44,1
270,44,1
296,44,1
307,44,1
321,44,1
412,44,1
494,44,1
271,45,1
103,48,1
120,48,1
186,48,1
195,48,1
390,48,1
94,49,1
200,49,1
415,49,1
132,50,1
226,50,1
8,51,1
157,51,1
265,51,1
213,52,1
401,52,1
415,52,1
265,53,1
340,53,1
131,55,1
188,55,1
222,55,1
61,56,1
71,56,1
254,56,1
430,57,1
538,57,1
318,58,1
348,58,1
392,58,1
218,61,1
63,62,1
220,62,1
368,62,1
397,62,1
398,62,1
278,63,1
404,63,1
358,64,1
3,65,1
192,66,1
51,67,1
326,67,1
21,68,1
338,68,1
44,69,1
49,69,1
91,69,1
123,69,1
296,69,1
321,69,1
394,69,1
414,69,1
402,70,1
61,71,1
215,71,1
158,72,1
271,72,1
319,72,1
355,72,1
368,72,1
397,72,1
78,73,1
245,75,1
359,75,1
360,75,1
203,76,1
227,81,1
288,81,1
117,82,1
187,82,1
356,84,1
202,86,1
550,86,1
684,88,1
255,89,1
67,90,1
4,91,1
49,91,1
170,91,1
308,91,1
394,91,1
414,91,1
423,91,1
49,94,1
308,94,1
165,95,1
280,95,1
350,96,1
369,96,1
117,98,1
377,98,1
93,99,1
115,99,1
131,99,1
188,99,1
207,99,1
350,99,1
25,100,1
337,100,1
410,100,1
24,101,1
130,101,1
433,101,1
79,102,1
48,103,1
140,103,1
186,103,1
390,103,1
733,104,1
49,105,1
78,105,1
303,107,1
364,108,1
147,110,1
268,110,1
358,110,1
3,111,1
133,111,1
127,112,1
166,112,1
200,112,1
254,112,1
268,112,1
112,114,1
166,114,1
268,114,1
269,114,1
413,114,1
445,114,1
9,115,1
280,115,1
98,117,1
4,119,1
203,120,1
351,121,1
394,121,1
213,123,1
309,123,1
363,123,1
47,125,1
20,126,1
29,127,1
196,127,1
248,127,1
396,127,1
428,127,1
39,128,1
404,128,1
13,129,1
101,130,1
215,130,1
339,130,1
430,130,1
433,130,1
207,131,1
226,131,1
350,131,1
7,132,1
211,132,1
221,133,1
271,133,1
398,133,1
257,135,1
