"source","target","weight"
149,1,1
155,1,1
88,2,1
138,2,1
154,2,1
23,4,1
38,4,1
87,4,1
90,4,1
134,4,1
139,4,1
85,5,1
100,5,1
102,5,1
128,5,1
179,5,1
180,5,1
81,6,1
83,6,1
114,6,1
140,6,1
26,8,1
96,8,1
120,8,1
137,8,1
157,8,1
165,8,1
57,10,1
60,10,1
139,10,1
169,10,1
53,11,1
56,11,1
125,11,1
1,12,1
65,12,1
68,12,1
77,12,1
149,12,1
161,12,1
163,12,1
199,12,1
16,13,1
27,13,1
31,13,1
38,13,1
50,13,1
54,13,1
87,13,1
98,13,1
117,13,1
147,13,1
148,13,1
156,13,1
169,13,1
190,13,1
58,14,1
65,14,1
68,14,1
116,14,1
161,14,1
200,14,1
105,15,1
113,15,1
139,15,1
20,16,1
23,16,1
45,16,1
109,16,1
119,16,1
156,16,1
167,16,1
189,16,1
22,17,1
32,17,1
77,17,1
82,17,1
129,17,1
136,17,1
152,17,1
154,17,1
189,17,1
192,17,1
21,18,1
131,18,1
168,18,1
50,20,1
148,20,1
156,20,1
18,21,1
93,21,1
131,21,1
168,21,1
17,22,1
41,22,1
78,22,1
156,22,1
31,23,1
64,23,1
113,23,1
119,23,1
135,23,1
147,23,1
167,23,1
107,24,1
147,24,1
156,24,1
167,24,1
175,25,1
114,26,1
23,27,1
112,27,1
138,27,1
166,27,1
181,27,1
26,28,1
37,28,1
75,28,1
131,28,1
193,28,1
195,28,1
13,29,1
31,29,1
38,29,1
57,29,1
60,29,1
71,29,1
73,29,1
86,29,1
87,29,1
89,29,1
95,29,1
98,29,1
99,29,1
109,29,1
113,29,1
144,29,1
145,29,1
159,29,1
181,29,1
184,29,1
198,29,1
199,29,1
26,30,1
44,30,1
56,30,1
66,30,1
76,30,1
120,30,1
183,30,1
205,30,1
16,31,1
29,31,1
50,31,1
71,31,1
73,31,1
86,31,1
99,31,1
109,31,1
113,31,1
145,31,1
167,31,1
184,31,1
45,32,1
57,32,1
100,32,1
109,32,1
30,33,1
86,33,1
124,33,1
130,33,1
142,33,1
183,33,1
205,33,1
53,34,1
56,34,1
103,34,1
133,34,1
21,35,1
46,35,1
55,35,1
19,36,1
63,36,1
19,37,1
4,38,1
105,38,1
134,38,1
139,38,1
147,38,1
15,39,1
28,39,1
105,39,1
59,40,1
130,40,1
157,40,1
17,41,1
22,41,1
58,41,1
78,41,1
166,41,1
176,41,1
192,41,1
195,41,1
161,42,1
200,42,1
148,43,1
30,44,1
66,44,1
180,44,1
202,44,1
205,44,1
10,45,1
16,45,1
20,45,1
64,45,1
89,45,1
169,45,1
66,46,1
76,46,1
131,46,1
151,46,1
91,47,1
8,48,1
32,48,1
88,48,1
112,48,1
8,49,1
26,49,1
28,49,1
36,49,1
61,49,1
96,49,1
120,49,1
142,49,1
165,49,1
193,49,1
31,50,1
33,50,1
113,50,1
126,50,1
159,50,1
182,50,1
184,50,1
198,50,1
11,51,1
115,51,1
194,51,1
160,52,1
11,53,1
93,53,1
150,53,1
13,54,1
27,54,1
100,54,1
107,54,1
117,54,1
148,54,1
190,54,1
199,54,1
19,55,1
44,55,1
46,55,1
94,55,1
97,55,1
180,55,1
202,55,1
205,55,1
11,56,1
51,56,1
174,56,1
95,57,1
48,58,1
40,59,1
157,59,1
193,59,1
10,60,1
47,60,1
98,60,1
109,60,1
169,60,1
75,61,1
110,61,1
116,61,1
132,61,1
170,61,1
186,61,1
118,62,1
152,62,1
168,62,1
68,63,1
90,64,1
14,65,1
68,65,1
161,65,1
200,65,1
30,66,1
44,66,1
140,66,1
180,66,1
202,66,1
205,66,1
68,67,1
65,68,1
94,69,1
118,69,1
97,70,1
175,70,1
16,71,1
29,71,1
31,71,1
45,71,1
57,71,1
60,71,1
99,71,1
109,71,1
126,71,1
145,71,1
184,71,1
36,72,1
67,72,1
152,72,1
174,72,1
87,73,1
107,73,1
147,73,1
167,73,1
61,75,1
110,75,1
132,75,1
170,75,1
201,75,1
51,76,1
48,77,1
58,77,1
137,77,1
154,77,1
161,77,1
192,77,1
2,78,1
22,78,1
82,78,1
92,78,1
155,78,1
191,78,1
80,79,1
85,79,1
94,79,1
170,79,1
191,79,1
79,80,1
140,80,1
152,80,1
191,80,1
107,81,1
114,81,1
167,81,1
17,82,1
81,83,1
96,83,1
114,83,1
132,83,1
143,83,1
95,84,1
79,85,1
152,85,1
170,85,1
191,85,1
29,86,1
50,86,1
71,86,1
73,86,1
87,86,1
89,86,1
99,86,1
109,86,1
113,86,1
126,86,1
144,86,1
145,86,1
159,86,1
182,86,1
184,86,1
198,86,1
10,87,1
27,87,1
156,87,1
181,87,1
190,87,1
2,88,1
82,88,1
129,88,1
138,88,1
146,88,1
158,88,1
166,88,1
176,88,1
195,88,1
16,89,1
20,89,1
45,89,1
50,89,1
144,89,1
145,89,1
169,89,1
189,90,1
47,91,1
2,92,1
22,92,1
48,92,1
78,92,1
94,92,1
112,92,1
18,93,1
108,93,1
131,93,1
151,93,1
168,93,1
69,94,1
92,94,1
168,94,1
74,95,1
84,95,1
169,95,1
114,96,1
55,97,1
70,97,1
202,97,1
205,97,1
13,98,1
23,98,1
87,98,1
199,98,1
16,99,1
31,99,1
45,99,1
71,99,1
100,99,1
113,99,1
145,99,1
159,99,1
184,99,1
95,100,1
105,101,1
116,101,1
162,101,1
200,101,1
5,102,1
44,102,1
85,102,1
128,102,1
168,102,1
180,102,1
74,104,1
114,104,1
137,104,1
150,104,1
158,104,1
10,105,1
38,105,1
67,105,1
139,105,1
147,105,1
28,106,1
151,106,1
24,107,1
78,107,1
87,107,1
147,107,1
156,107,1
167,107,1
181,107,1
53,108,1
93,108,1
131,108,1
151,108,1
168,108,1
31,109,1
32,109,1
38,109,1
57,109,1
60,109,1
67,109,1
71,109,1
112,109,1
184,109,1
199,109,1
75,110,1
132,110,1
158,110,1
63,111,1
178,111,1
22,112,1
27,112,1
32,112,1
54,112,1
78,112,1
117,112,1
141,112,1
159,112,1
195,112,1
15,113,1
50,113,1
26,114,1
81,114,1
83,114,1
96,114,1
120,114,1
143,114,1
150,114,1
157,114,1
165,114,1
38,115,1
105,115,1
139,115,1
10,116,1
14,116,1
65,116,1
150,116,1
161,116,1
200,116,1
10,117,1
13,117,1
27,117,1
54,117,1
87,117,1
100,117,1
107,117,1
181,117,1
190,117,1
8,118,1
61,118,1
62,118,1
142,118,1
165,118,1
170,118,1
201,118,1
16,119,1
50,119,1
60,119,1
99,119,1
118,119,1
126,119,1
135,119,1
139,119,1
144,119,1
165,119,1
169,119,1
198,119,1
8,120,1
26,120,1
36,120,1
96,120,1
181,120,1
76,121,1
80,121,1
118,121,1
132,121,1
183,121,1
205,121,1
22,122,1
41,122,1
138,122,1
46,123,1
118,123,1
120,123,1
180,123,1
11,124,1
63,124,1
130,124,1
170,124,1
175,124,1
178,124,1
194,124,1
13,126,1
16,126,1
27,126,1
45,126,1
73,126,1
99,126,1
105,126,1
109,126,1
119,126,1
135,126,1
142,126,1
169,126,1
182,126,1
189,126,1
190,126,1
199,126,1
14,127,1
65,127,1
82,127,1
116,127,1
162,127,1
5,128,1
102,128,1
179,128,1
190,128,1
33,130,1
157,130,1
165,130,1
183,130,1
21,131,1
46,131,1
93,131,1
108,131,1
151,131,1
7,132,1
19,132,1
61,132,1
72,132,1
75,132,1
110,132,1
170,132,1
56,133,1
103,133,1
105,134,1
13,135,1
45,135,1
57,135,1
64,135,1
107,135,1
119,135,1
126,135,1
144,135,1
147,135,1
167,135,1
190,135,1
41,136,1
77,136,1
88,136,1
122,136,1
146,136,1
154,136,1
192,136,1
8,137,1
77,137,1
130,137,1
150,137,1
157,137,1
158,137,1
175,137,1
178,137,1
17,138,1
41,138,1
58,138,1
77,138,1
88,138,1
122,138,1
146,138,1
154,138,1
176,138,1
192,138,1
195,138,1
10,139,1
15,139,1
38,139,1
98,139,1
105,139,1
119,139,1
167,139,1
79,140,1
80,140,1
86,140,1
124,140,1
203,140,1
32,141,1
41,141,1
88,141,1
138,141,1
154,141,1
176,141,1
195,141,1
8,142,1
26,142,1
32,142,1
96,142,1
118,142,1
120,142,1
137,142,1
152,142,1
165,142,1
183,142,1
193,142,1
114,143,1
173,143,1
23,144,1
24,144,1
86,144,1
113,144,1
135,144,1
29,145,1
31,145,1
38,145,1
57,145,1
71,145,1
86,145,1
99,145,1
100,145,1
184,145,1
17,146,1
77,146,1
88,146,1
129,146,1
160,146,1
176,146,1
23,147,1
24,147,1
73,147,1
107,147,1
149,147,1
156,147,1
190,147,1
12,149,1
53,150,1
104,150,1
114,150,1
125,150,1
