"source","target","weight"
17,1,1
27,1,1
85,1,1
103,1,1
141,1,1
311,1,1
315,1,1
347,1,1
358,1,1
414,1,1
454,1,1
153,2,1
200,3,1
281,3,1
347,3,1
121,4,1
194,4,1
455,4,1
96,5,1
153,6,1
329,7,1
18,8,1
19,8,1
26,8,1
46,8,1
127,8,1
128,8,1
133,8,1
150,8,1
172,8,1
237,8,1
307,8,1
320,8,1
416,8,1
453,8,1
463,8,1
31,9,1
66,9,1
130,9,1
380,9,1
403,9,1
299,10,1
373,10,1
106,11,1
338,11,1
374,11,1
114,12,1
124,12,1
312,12,1
359,12,1
96,13,1
106,13,1
334,13,1
420,13,1
446,13,1
31,14,1
47,14,1
141,14,1
154,14,1
182,14,1
259,14,1
266,14,1
123,15,1
334,15,1
15,16,1
205,16,1
318,16,1
334,16,1
24,17,1
94,17,1
226,17,1
454,17,1
49,18,1
150,18,1
185,18,1
336,18,1
338,18,1
340,18,1
366,18,1
456,18,1
18,19,1
23,19,1
26,19,1
133,19,1
172,19,1
463,19,1
67,20,1
204,20,1
342,20,1
404,20,1
236,21,1
130,22,1
139,22,1
19,23,1
364,24,1
383,24,1
422,24,1
464,24,1
18,26,1
19,26,1
75,26,1
100,26,1
127,26,1
128,26,1
172,26,1
218,26,1
237,26,1
320,26,1
426,26,1
1,27,1
17,27,1
311,27,1
315,27,1
358,27,1
414,27,1
454,27,1
441,28,1
116,29,1
147,29,1
295,29,1
441,29,1
286,30,1
369,30,1
47,31,1
66,31,1
84,31,1
218,31,1
295,31,1
458,31,1
117,32,1
427,32,1
55,33,1
105,33,1
144,33,1
173,33,1
302,33,1
442,33,1
33,34,1
105,34,1
144,34,1
173,34,1
302,34,1
442,34,1
21,35,1
43,35,1
56,35,1
90,35,1
160,35,1
173,35,1
230,35,1
231,35,1
258,35,1
302,35,1
316,35,1
379,35,1
404,35,1
408,35,1
417,35,1
442,35,1
267,36,1
383,38,1
439,38,1
440,38,1
84,39,1
341,39,1
101,40,1
217,40,1
466,40,1
40,41,1
196,41,1
217,41,1
390,41,1
457,41,1
461,41,1
91,42,1
272,42,1
35,43,1
116,43,1
139,43,1
180,43,1
198,43,1
231,43,1
236,43,1
258,43,1
279,43,1
396,43,1
460,43,1
143,44,1
299,44,1
31,45,1
142,45,1
153,45,1
376,45,1
63,46,1
394,46,1
31,47,1
181,47,1
266,47,1
273,47,1
352,47,1
435,47,1
104,48,1
383,48,1
246,49,1
366,49,1
369,49,1
411,49,1
349,50,1
463,50,1
191,51,1
194,51,1
260,51,1
364,52,1
424,53,1
84,54,1
102,54,1
181,54,1
274,54,1
367,54,1
21,55,1
33,55,1
34,55,1
35,55,1
105,55,1
126,55,1
144,55,1
160,55,1
173,55,1
230,55,1
236,55,1
238,55,1
258,55,1
288,55,1
302,55,1
316,55,1
379,55,1
384,55,1
408,55,1
416,55,1
433,55,1
442,55,1
35,56,1
102,56,1
437,56,1
331,59,1
426,59,1
200,60,1
243,61,1
46,63,1
80,63,1
55,64,1
123,64,1
167,64,1
318,64,1
446,64,1
229,66,1
436,66,1
454,66,1
73,67,1
97,67,1
138,67,1
198,67,1
255,67,1
319,67,1
335,67,1
390,67,1
442,67,1
460,67,1
66,68,1
118,68,1
332,68,1
452,68,1
244,69,1
169,70,1
459,70,1
121,71,1
221,71,1
372,71,1
67,73,1
232,73,1
305,73,1
54,74,1
274,74,1
329,74,1
187,75,1
275,75,1
291,75,1
317,75,1
429,75,1
163,77,1
324,77,1
412,77,1
183,78,1
372,78,1
411,78,1
455,78,1
117,79,1
357,79,1
63,80,1
147,80,1
55,81,1
163,82,1
437,82,1
115,83,1
187,83,1
203,83,1
234,83,1
235,83,1
260,83,1
287,83,1
297,83,1
362,83,1
435,83,1
457,83,1
39,84,1
154,84,1
141,85,1
315,85,1
347,85,1
464,85,1
120,86,1
152,86,1
30,87,1
109,87,1
178,87,1
254,87,1
401,87,1
99,88,1
181,88,1
332,88,1
346,88,1
462,88,1
311,89,1
196,90,1
217,90,1
294,90,1
390,90,1
417,90,1
42,91,1
151,92,1
265,92,1
299,92,1
312,92,1
361,92,1
288,93,1
305,93,1
17,94,1
226,94,1
205,95,1
310,96,1
334,96,1
20,97,1
21,97,1
209,97,1
396,97,1
123,98,1
244,98,1
1,99,1
67,99,1
88,99,1
118,99,1
397,99,1
187,100,1
215,100,1
40,101,1
203,101,1
272,101,1
292,101,1
294,101,1
357,101,1
417,101,1
437,101,1
461,101,1
54,102,1
120,102,1
160,102,1
165,102,1
295,102,1
316,102,1
368,102,1
85,103,1
347,103,1
33,105,1
34,105,1
302,105,1
167,106,1
202,106,1
267,106,1
377,106,1
459,106,1
324,108,1
30,109,1
87,109,1
97,109,1
254,109,1
401,109,1
427,109,1
32,110,1
170,110,1
24,111,1
28,111,1
47,111,1
104,111,1
116,111,1
129,111,1
277,111,1
291,111,1
322,111,1
335,111,1
384,111,1
430,111,1
441,111,1
458,111,1
460,111,1
413,112,1
332,113,1
413,113,1
127,114,1
172,114,1
234,114,1
260,114,1
300,114,1
307,114,1
385,114,1
426,114,1
351,115,1
184,116,1
202,116,1
318,116,1
329,117,1
353,118,1
126,119,1
129,119,1
209,119,1
238,119,1
258,119,1
279,119,1
292,119,1
322,119,1
384,119,1
416,119,1
430,119,1
131,120,1
228,120,1
390,122,1
428,122,1
220,123,1
337,123,1
194,124,1
140,125,1
186,125,1
447,125,1
21,126,1
33,126,1
34,126,1
55,126,1
119,126,1
238,126,1
416,126,1
417,126,1
114,127,1
121,127,1
172,127,1
237,127,1
260,127,1
320,127,1
19,128,1
23,128,1
26,128,1
133,128,1
237,128,1
463,128,1
155,129,1
179,129,1
322,129,1
324,129,1
430,129,1
142,130,1
361,130,1
458,130,1
116,132,1
329,132,1
383,132,1
398,132,1
19,133,1
23,133,1
32,133,1
46,133,1
71,133,1
121,133,1
123,133,1
124,133,1
172,133,1
224,133,1
237,133,1
245,133,1
267,133,1
297,133,1
320,133,1
337,133,1
374,133,1
416,133,1
422,133,1
425,133,1
427,133,1
453,133,1
463,133,1
99,134,1
141,134,1
413,134,1
462,134,1
104,135,1
174,135,1
240,135,1
274,135,1
291,135,1
29,136,1
295,136,1
365,136,1
61,137,1
311,137,1
418,137,1
33,138,1
34,138,1
67,138,1
160,138,1
232,138,1
236,138,1
316,138,1
319,138,1
335,138,1
401,138,1
408,138,1
117,139,1
131,139,1
268,139,1
365,139,1
383,139,1
405,139,1
441,139,1
194,140,1
81,141,1
85,141,1
137,141,1
315,141,1
414,141,1
24,142,1
130,142,1
153,142,1
268,142,1
44,143,1
85,143,1
151,143,1
192,143,1
271,143,1
361,143,1
288,144,1
401,144,1
442,144,1
31,145,1
75,145,1
100,145,1
218,145,1
226,145,1
265,145,1
283,145,1
307,145,1
317,145,1
336,145,1
340,145,1
365,145,1
459,146,1
75,147,1
100,147,1
187,147,1
218,147,1
226,147,1
283,147,1
307,147,1
317,147,1
365,147,1
433,147,1
413,148,1
286,149,1
369,149,1
18,150,1
185,150,1
239,150,1
336,150,1
340,150,1
140,151,1
86,152,1
120,152,1
142,153,1
114,154,1
182,154,1
192,154,1
193,154,1
266,154,1
312,154,1
398,154,1
447,154,1
85,155,1
181,156,1
376,156,1
380,156,1
394,156,1
97,157,1
117,157,1
144,157,1
209,157,1
255,157,1
300,157,1
319,157,1
396,157,1
97,159,1
277,159,1
279,159,1
333,159,1
360,159,1
316,160,1
379,160,1
42,161,1
91,161,1
179,161,1
196,161,1
217,161,1
272,161,1
294,161,1
300,161,1
382,161,1
461,161,1
67,162,1
73,162,1
117,162,1
150,162,1
231,162,1
435,162,1
437,162,1
77,163,1
324,163,1
11,164,1
70,164,1
131,165,1
228,165,1
359,166,1
446,166,1
18,167,1
74,168,1
235,168,1
70,169,1
318,169,1
32,170,1
423,170,1
389,171,1
52,172,1
114,172,1
127,172,1
237,172,1
300,172,1
426,172,1
230,173,1
236,173,1
404,173,1
175,174,1
181,174,1
259,174,1
382,175,1
175,176,1
248,176,1
339,176,1
30,178,1
87,178,1
109,178,1
144,178,1
254,178,1
