"source","target","weight"
152,1,1
199,1,1
242,1,1
265,1,1
567,1,1
590,1,1
615,1,1
731,1,1
795,1,1
1018,1,1
1197,1,1
1218,1,1
1319,1,1
88,3,1
1392,3,1
1447,3,1
142,4,1
168,4,1
866,4,1
1053,4,1
138,5,1
448,5,1
631,5,1
930,5,1
1194,5,1
1225,5,1
1253,5,1
1316,5,1
212,6,1
523,6,1
148,7,1
223,7,1
401,7,1
602,7,1
805,7,1
862,7,1
1022,7,1
1111,7,1
1247,7,1
1459,7,1
116,8,1
155,8,1
184,8,1
274,8,1
395,8,1
508,8,1
540,8,1
632,8,1
859,8,1
987,8,1
911,10,1
1310,10,1
452,11,1
550,11,1
652,11,1
671,11,1
1255,11,1
140,12,1
602,13,1
1105,13,1
1231,13,1
1300,13,1
1419,13,1
304,14,1
341,14,1
831,14,1
974,14,1
998,14,1
1066,14,1
1305,14,1
678,15,1
1056,15,1
1419,15,1
471,16,1
587,16,1
916,16,1
1349,16,1
226,17,1
419,17,1
687,17,1
810,17,1
824,17,1
1073,17,1
1195,17,1
226,18,1
985,18,1
1325,18,1
1409,18,1
300,19,1
592,19,1
673,19,1
699,19,1
941,19,1
88,20,1
207,20,1
1046,20,1
1209,20,1
1297,20,1
827,21,1
1138,21,1
1168,21,1
151,22,1
892,22,1
1339,22,1
40,23,1
406,23,1
613,23,1
634,23,1
1238,23,1
1421,23,1
706,24,1
1391,24,1
663,25,1
353,26,1
534,26,1
1215,26,1
534,27,1
1339,27,1
32,28,1
509,28,1
697,28,1
728,28,1
880,28,1
930,28,1
1232,28,1
169,29,1
714,29,1
733,29,1
1041,29,1
1096,29,1
1386,29,1
612,30,1
826,30,1
1435,30,1
326,31,1
435,31,1
928,31,1
932,31,1
1385,31,1
95,32,1
133,32,1
153,32,1
478,32,1
849,33,1
851,33,1
215,34,1
529,34,1
789,34,1
979,34,1
562,35,1
814,35,1
1355,35,1
1470,35,1
58,36,1
314,36,1
678,36,1
781,36,1
1096,36,1
1217,36,1
1260,36,1
1446,36,1
605,37,1
189,38,1
1339,38,1
1394,38,1
406,39,1
537,39,1
539,39,1
580,39,1
620,39,1
634,39,1
1215,39,1
1304,39,1
1344,39,1
1391,39,1
1421,39,1
23,40,1
1215,40,1
1391,40,1
549,41,1
1039,41,1
23,42,1
40,42,1
1215,42,1
1391,42,1
1126,43,1
190,44,1
815,44,1
71,45,1
125,45,1
220,45,1
710,45,1
809,45,1
862,45,1
1026,45,1
1033,45,1
1306,45,1
1000,46,1
1246,46,1
786,47,1
1182,47,1
53,48,1
293,48,1
465,48,1
1018,48,1
287,49,1
629,49,1
862,49,1
559,50,1
857,50,1
459,51,1
566,51,1
970,51,1
1002,51,1
1036,51,1
1042,51,1
1269,51,1
61,52,1
209,52,1
501,52,1
562,52,1
628,52,1
758,52,1
786,52,1
898,52,1
904,52,1
1023,52,1
1057,52,1
1181,52,1
1222,52,1
1447,52,1
48,53,1
141,53,1
356,53,1
440,53,1
442,53,1
465,53,1
516,53,1
556,53,1
651,53,1
656,53,1
923,53,1
990,53,1
1235,53,1
1295,53,1
1333,53,1
1367,53,1
1388,53,1
125,54,1
384,54,1
465,54,1
556,54,1
570,54,1
822,54,1
990,54,1
1442,54,1
1231,55,1
400,56,1
659,56,1
740,56,1
281,57,1
740,57,1
1015,57,1
1101,57,1
1409,57,1
36,58,1
581,58,1
678,58,1
1489,58,1
8,60,1
79,60,1
155,60,1
540,60,1
987,60,1
1007,60,1
1095,60,1
52,61,1
416,61,1
641,61,1
722,61,1
758,61,1
809,61,1
