"source","target","weight"
116,1,1
30,2,1
1343,2,1
1765,2,1
2202,2,1
1971,4,1
571,5,1
706,5,1
921,5,1
1143,5,1
2023,5,1
56,6,1
394,6,1
823,6,1
1357,6,1
900,7,1
1720,7,1
1336,8,1
2113,8,1
986,9,1
2146,9,1
302,10,1
2107,10,1
1206,11,1
694,12,1
714,12,1
2223,12,1
180,14,1
559,14,1
1575,14,1
113,15,1
260,15,1
299,15,1
1292,15,1
1339,15,1
1429,15,1
1784,15,1
2010,15,1
2035,15,1
1341,16,1
2089,16,1
215,17,1
1373,17,1
2036,18,1
31,19,1
1252,19,1
859,20,1
1777,21,1
910,22,1
343,25,1
654,25,1
1662,25,1
1846,25,1
1112,26,1
960,29,1
1331,29,1
2,30,1
849,30,1
855,30,1
921,30,1
1625,30,1
19,31,1
1252,31,1
1847,31,1
1017,32,1
1371,32,1
680,33,1
169,34,1
1455,34,1
1552,34,1
1583,34,1
1680,34,1
1899,34,1
748,35,1
2136,35,1
1813,36,1
140,37,1
323,37,1
327,37,1
1344,37,1
952,38,1
500,40,1
2067,40,1
1157,41,1
1359,41,1
607,42,1
627,42,1
961,42,1
1122,42,1
2079,42,1
482,43,1
625,43,1
1363,43,1
1560,43,1
759,44,1
1975,44,1
232,45,1
900,45,1
1254,45,1
262,46,1
1103,46,1
1467,46,1
1827,46,1
1938,46,1
222,47,1
250,47,1
973,47,1
1421,48,1
1120,49,1
1719,49,1
244,51,1
2043,51,1
55,52,1
1031,52,1
1205,52,1
1893,52,1
856,53,1
1336,53,1
1290,54,1
6,56,1
67,56,1
745,56,1
822,56,1
1675,56,1
1859,56,1
2107,56,1
2118,56,1
1191,58,1
1006,59,1
119,60,1
212,60,1
598,60,1
871,60,1
1266,60,1
1531,60,1
1622,60,1
1625,60,1
4,61,1
604,61,1
735,61,1
1520,61,1
421,62,1
1655,62,1
2197,62,1
619,63,1
952,63,1
1959,63,1
2213,63,1
461,64,1
1220,64,1
1293,64,1
1635,64,1
85,65,1
88,65,1
243,65,1
426,65,1
535,65,1
973,65,1
1108,65,1
1148,65,1
1213,65,1
1412,65,1
1506,65,1
1709,65,1
1939,65,1
2010,65,1
920,66,1
1884,66,1
2184,66,1
152,67,1
745,67,1
1223,67,1
1904,67,1
1992,67,1
735,69,1
915,69,1
1223,69,1
1228,69,1
1866,69,1
75,70,1
686,70,1
1399,70,1
2153,70,1
207,71,1
297,71,1
590,71,1
1261,71,1
1792,71,1
2203,71,1
279,72,1
737,72,1
1396,72,1
452,73,1
627,73,1
1614,73,1
70,75,1
186,75,1
686,75,1
1012,75,1
1159,75,1
1399,75,1
386,76,1
2149,76,1
333,78,1
537,78,1
1696,78,1
1787,78,1
1903,78,1
1202,80,1
1766,81,1
2097,81,1
279,82,1
624,82,1
857,82,1
1206,82,1
65,85,1
243,85,1
1148,85,1
1213,85,1
1362,85,1
2010,85,1
956,86,1
419,87,1
829,87,1
1417,87,1
195,88,1
938,88,1
1057,88,1
1108,88,1
1448,88,1
1709,88,1
1939,88,1
37,89,1
1163,89,1
1495,89,1
310,90,1
516,90,1
2090,90,1
105,91,1
107,91,1
149,91,1
536,91,1
557,91,1
793,91,1
1179,91,1
2032,91,1
95,92,1
1019,93,1
423,94,1
1255,94,1
10,97,1
409,97,1
570,97,1
1309,97,1
2083,97,1
2197,97,1
1223,98,1
1277,98,1
1459,98,1
1910,99,1
106,100,1
856,100,1
897,100,1
1193,100,1
1665,100,1
2026,100,1
271,101,1
537,101,1
1190,101,1
1492,101,1
1601,101,1
1708,101,1
1903,101,1
1913,101,1
2218,101,1
126,102,1
628,102,1
1267,102,1
645,104,1
47,105,1
91,105,1
107,105,1
536,105,1
793,105,1
1042,105,1
1179,105,1
1670,105,1
1765,105,1
1990,105,1
2109,105,1
100,106,1
517,106,1
1214,106,1
2108,106,1
2214,106,1
186,107,1
702,107,1
726,107,1
793,107,1
1028,107,1
1107,107,1
1206,107,1
1745,107,1
1769,107,1
1871,107,1
1882,107,1
1978,107,1
2020,107,1
646,108,1
1028,108,1
1162,108,1
1214,108,1
1221,108,1
1245,108,1
2074,108,1
1393,109,1
1563,109,1
884,111,1
2218,112,1
15,113,1
233,113,1
381,113,1
529,113,1
608,113,1
1001,113,1
1118,113,1
1556,113,1
1950,113,1
2035,113,1
1701,115,1
1,116,1
63,116,1
475,116,1
11,118,1
301,118,1
1100,118,1
1229,118,1
1594,118,1
2029,118,1
1910,120,1
1,121,1
1081,121,1
640,122,1
878,122,1
976,122,1
1176,122,1
1894,122,1
943,123,1
1459,123,1
719,124,1
732,124,1
1567,124,1
2062,125,1
1652,126,1
1221,127,1
1573,127,1
20,128,1
1135,128,1
1223,129,1
608,130,1
976,130,1
1020,130,1
1674,130,1
1383,131,1
1478,131,1
1583,131,1
133,132,1
246,132,1
260,132,1
1152,132,1
1178,132,1
1748,132,1
282,133,1
645,133,1
1178,133,1
1748,133,1
2149,133,1
753,134,1
1655,134,1
1766,134,1
280,135,1
838,135,1
933,135,1
1882,135,1
1937,135,1
181,136,1
760,136,1
1624,136,1
2125,136,1
